tag,precision,recall,f1,support
time_morning,0.8,0.2353,0.3636,17
time_noon,0.6667,0.25,0.3636,8
time_afternoon,0.75,0.5,0.6,12
time_evening,0.7143,0.625,0.6667,16
time_night,0.0,0.0,0.0,7
time_snacks,0.75,0.375,0.5,8
weather_hot,0.75,0.375,0.5,8
weather_cold,0.0,0.0,0.0,7
weather_rain,0.0,0.0,0.0,8
weather_storm,0.0,0.0,0.0,2
weather_normal,0.0,0.0,0.0,6
mood_exhausted,0.0,0.0,0.0,3
mood_sluggish,0.0,0.0,0.0,6
mood_normal,1.0,0.125,0.2222,8
mood_happy,0.0,0.0,0.0,7
mood_excited,0.0,0.0,0.0,7
mood_starving,0.0,0.0,0.0,4
mood_stressed,0.0,0.0,0.0,6
mood_lonely,0.0,0.0,0.0,2
mood_sick,0.0,0.0,0.0,3
mood_lazy,0.0,0.0,0.0,4
mood_gossip,0.0,0.0,0.0,1
mood_bored_taste,0.0,0.0,0.0,6
mood_watching_movie,1.0,0.8333,0.9091,6
mood_gathering,0.5,0.125,0.2,8
pref_spicy,1.0,0.2857,0.4444,7
pref_sweet,1.0,0.2727,0.4286,11
pref_sour,1.0,0.1,0.1818,10
pref_flavorful,0.6667,0.3333,0.4444,18
pref_bland,1.0,0.1667,0.2857,12
pref_soup,1.0,0.0667,0.125,15
pref_dry,0.0,0.0,0.0,7
pref_cold,0.4,0.4,0.4,10
pref_crunchy,0.0,0.0,0.0,7
pref_soft,0.0,0.0,0.0,8
pref_bbq_hotpot,0.0,0.0,0.0,7
pref_instant,0.6667,0.5,0.5714,8
pref_rice,0.8,0.3077,0.4444,13
pref_raw,0.0,0.0,0.0,10
pref_rich,0.0,0.0,0.0,8
pref_low_fat,0.0,0.0,0.0,7
pref_high_protein,0.0,0.0,0.0,13
pref_vegetarian,1.0,0.0769,0.1429,13
pref_convenient,1.0,0.2143,0.3529,14
pref_finger_food,0.5,0.2222,0.3077,9
pref_caffeine,0.0,0.0,0.0,9
pref_milky,1.0,0.1667,0.2857,6
pref_fruity,0.0,0.0,0.0,7
pref_tea_base,0.7778,0.6364,0.7,11
pref_fizzy,1.0,0.125,0.2222,8
pref_cold_drink,0.0,0.0,0.0,6
pref_warm_drink,1.0,0.2143,0.3529,14
pref_herbal,0.0,0.0,0.0,5
